night,train_rows,train_positive_segments,train_negative_segments,candidate_segments,actual_positive_segments,status,location_hits_top_k,location_hit_rate_top_k,location_hits_top_1pct,location_hits_top_5pct,location_hits_top_10pct,location_hit_rate_top_10pct,actual_capture_median_rank,actual_capture_median_rank_percentile,random_expected_top_k_rate,random_expected_top_10pct_rate
2026-05-13,0,0,0,454,2,insufficient-training-history,,,,,,,,,,
2026-05-15,454,2,452,81,1,insufficient-training-history,,,,,,,,,,
2026-05-18,535,3,532,424,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,245.5,0.5790094339622642,0.07075471698113207,0.1
2026-05-19,959,5,954,74,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.9324324324324325,0.40540540540540543,0.1
2026-05-21,1033,6,1027,567,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,180.5,0.318342151675485,0.05291005291005291,0.1
2026-05-23,1600,8,1592,867,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.49019607843137253,0.03460207612456748,0.1
2026-05-24,2467,11,2456,76,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.5657894736842105,0.39473684210526316,0.1
2026-06-04,2543,12,2531,947,3,ok,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,349.0,0.368532206969377,0.03167898627243928,0.1
2026-06-06,3490,15,3475,867,4,ok,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.3875432525951557,0.03460207612456748,0.1
2026-06-10,4357,19,4338,1010,5,ok,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.20396039603960395,0.0297029702970297,0.1
2026-06-12,5367,24,5343,1441,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,1134.5,0.7873004857737682,0.020818875780707843,0.1
2026-06-13,6808,26,6782,800,3,ok,1.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,451.0,0.56375,0.0375,0.1
2026-06-16,7608,29,7579,81,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.7283950617283951,0.37037037037037035,0.1
2026-06-17,7689,30,7659,416,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,250.5,0.6021634615384616,0.07211538461538461,0.1
2026-06-18,8105,32,8073,1051,4,ok,1.0,0.25,0.0,1.0,1.0,0.25,303.0,0.28829686013320643,0.028544243577545196,0.1
2026-06-20,9156,36,9120,2282,4,ok,0.0,0.0,0.0,0.0,0.0,0.0,1698.0,0.7440841367221736,0.013146362839614373,0.1
2026-06-22,11438,40,11398,2570,4,ok,0.0,0.0,0.0,0.0,0.0,0.0,1706.0,0.6638132295719844,0.011673151750972763,0.1
2026-06-23,14008,44,13964,2092,5,ok,0.0,0.0,0.0,0.0,1.0,0.2,289.0,0.1381453154875717,0.014340344168260038,0.1
2026-06-24,16100,49,16051,1721,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,1324.0,0.7693201626961069,0.017431725740848343,0.1
2026-06-28,17821,52,17769,2907,6,ok,1.0,0.16666666666666666,1.0,1.0,2.0,0.3333333333333333,621.5,0.21379428964568284,0.010319917440660475,0.1
2026-06-30,20728,58,20670,2178,4,ok,0.0,0.0,0.0,1.0,2.0,0.5,877.5,0.40289256198347106,0.013774104683195593,0.1
2026-07-01,22906,62,22844,1822,3,ok,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1610.0,0.8836443468715697,0.01646542261251372,0.1
2026-07-08,24728,65,24663,156,2,ok,1.0,0.5,0.0,0.0,0.0,0.0,63.5,0.40705128205128205,0.19230769230769232,0.1
2026-07-09,24884,67,24817,103,2,ok,1.0,0.5,0.0,1.0,1.0,0.5,31.0,0.30097087378640774,0.2912621359223301,0.1
2026-07-10,24987,69,24918,75,1,ok,1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.24,0.4,0.1
2026-07-16,25062,70,24992,2043,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,1751.0,0.8570729319627998,0.014684287812041116,0.1
2026-07-17,27105,73,27032,1027,3,ok,1.0,0.3333333333333333,1.0,2.0,2.0,0.6666666666666666,45.0,0.043816942551119765,0.029211295034079845,0.1
2026-07-20,28132,76,28056,388,2,ok,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.5489690721649485,0.07731958762886598,0.1
2026-07-22,28520,78,28442,76,1,ok,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.40789473684210525,0.39473684210526316,0.1
2026-07-24,28596,79,28517,379,4,ok,0.0,0.0,0.0,0.0,0.0,0.0,203.5,0.5369393139841688,0.079155672823219,0.1
2026-07-25,28975,83,28892,1695,5,ok,0.0,0.0,0.0,0.0,1.0,0.2,212.0,0.12507374631268436,0.017699115044247787,0.1
2026-07-26,30670,88,30582,212,2,ok,1.0,0.5,0.0,0.0,0.0,0.0,71.5,0.33726415094339623,0.14150943396226415,0.1
2026-07-30,30882,90,30792,844,3,ok,0.0,0.0,0.0,0.0,0.0,0.0,474.0,0.5616113744075829,0.035545023696682464,0.1
